epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.44305,1.62116,5.67053,1.74051,0.5495,0.83941,0.67467,0.47035,1.11542,3.77878,1.57068,0.00015554,0.00015554,0.00015554
2,14.001,1.00063,1.70331,1.26002,0.74277,0.83415,0.82326,0.5615,1.0747,1.73751,1.46605,0.000315811,0.000315811,0.000315811
3,20.547,0.99385,1.3261,1.24674,0.84279,0.97315,0.96964,0.65094,1.12355,1.17568,1.39246,0.000469482,0.000469482,0.000469482
4,27.033,1.05109,1.07717,1.22711,0.74359,0.73182,0.82714,0.59658,1.01578,1.32494,1.3761,0.000616554,0.000616554,0.000616554
5,32.5233,0.95701,0.91824,1.22178,0.66329,0.69848,0.78687,0.5259,1.27203,1.34907,1.61349,0.000757027,0.000757027,0.000757027
6,39.064,0.9364,0.77835,1.19848,0.55529,0.65314,0.65536,0.45673,1.19095,1.5147,1.50957,0.0008909,0.0008909,0.0008909
7,44.9425,0.93766,0.71037,1.19462,0.69901,0.46539,0.64718,0.47568,0.94065,1.98233,1.29378,0.000979013,0.000979013,0.000979013
8,51.1098,0.95328,0.82673,1.20853,0.86502,0.70132,0.91067,0.68089,0.91787,1.22738,1.34808,0.000957015,0.000957015,0.000957015
9,57.1443,0.93701,0.75172,1.19161,0.82783,0.82158,0.95327,0.74366,0.87547,0.91425,1.28683,0.000935018,0.000935018,0.000935018
10,62.6395,0.89606,0.69977,1.17738,0.67401,0.63838,0.77025,0.59114,0.85805,1.39679,1.27753,0.00091302,0.00091302,0.00091302
11,68.2721,0.91092,0.64636,1.18983,0.83645,0.59394,0.63995,0.46958,0.97339,1.66032,1.34769,0.000891022,0.000891022,0.000891022
12,74.899,0.91498,0.60952,1.16806,0.86775,0.63753,0.87019,0.63297,1.00826,1.47271,1.3896,0.000869024,0.000869024,0.000869024
13,81.1374,0.92731,0.60251,1.20187,0.87672,0.91217,0.98115,0.70451,0.99962,0.77617,1.38042,0.000847026,0.000847026,0.000847026
14,86.7731,0.89372,0.61363,1.1778,0.93309,0.96743,0.97081,0.6941,1.06505,0.63997,1.49801,0.000825029,0.000825029,0.000825029
15,92.4643,0.86511,0.6058,1.18267,0.89787,0.96978,0.96707,0.70605,0.9642,0.6443,1.42291,0.000803031,0.000803031,0.000803031
16,98.2998,0.82521,0.58742,1.13998,0.83673,0.95696,0.93107,0.64997,1.05333,0.92736,1.50521,0.000781033,0.000781033,0.000781033
17,103.887,0.84741,0.57913,1.16988,0.9238,0.91617,0.95414,0.71373,0.9479,0.69563,1.37739,0.000759035,0.000759035,0.000759035
18,109.828,0.85294,0.555,1.15251,0.92099,0.87559,0.93715,0.69834,0.94864,0.70503,1.39734,0.000737037,0.000737037,0.000737037
19,115.519,0.82992,0.53395,1.13922,0.87804,0.92855,0.93858,0.70084,0.92713,0.74793,1.35569,0.00071504,0.00071504,0.00071504
20,121.229,0.8047,0.51071,1.11538,0.94146,0.97674,0.98504,0.76411,0.90241,0.52542,1.3118,0.000693042,0.000693042,0.000693042
21,127.425,0.7726,0.50145,1.12379,0.90294,0.93827,0.95665,0.75635,0.83132,0.56,1.2541,0.000671044,0.000671044,0.000671044
22,132.916,0.75647,0.49135,1.08043,0.88258,0.85106,0.89861,0.68083,0.90084,0.80224,1.32832,0.000649046,0.000649046,0.000649046
23,140.597,0.75207,0.48287,1.07834,0.91493,0.93069,0.958,0.73825,0.89454,0.61335,1.33144,0.000627048,0.000627048,0.000627048
24,145.984,0.80269,0.51542,1.10744,0.89435,0.88919,0.94462,0.69388,0.99377,0.74065,1.43164,0.000605051,0.000605051,0.000605051
25,152.233,0.79347,0.52532,1.13455,0.93443,0.97722,0.97584,0.72601,0.96061,0.56329,1.35603,0.000583053,0.000583053,0.000583053
26,158.145,0.73626,0.47448,1.09608,0.9482,0.96495,0.989,0.76101,0.9003,0.44487,1.31441,0.000561055,0.000561055,0.000561055
27,164.022,0.7277,0.4658,1.0791,0.94136,0.9963,0.98,0.77169,0.85288,0.44213,1.28443,0.000539057,0.000539057,0.000539057
28,170.415,0.75875,0.47652,1.09809,0.93414,0.94238,0.96374,0.72112,0.9237,0.609,1.37799,0.000517059,0.000517059,0.000517059
29,176.175,0.70525,0.43359,1.03384,0.92969,0.93119,0.96365,0.75325,0.88495,0.66427,1.34517,0.000495062,0.000495062,0.000495062
30,183.246,0.68534,0.45014,1.05888,0.95174,0.9678,0.95905,0.73597,0.9367,0.50924,1.40124,0.000473064,0.000473064,0.000473064
31,188.933,0.68127,0.41943,1.04379,0.95154,0.95339,0.97087,0.77953,0.80493,0.51225,1.26352,0.000451066,0.000451066,0.000451066
32,195.299,0.75263,0.45375,1.08587,0.93488,0.93735,0.97791,0.74196,0.92951,0.58719,1.41462,0.000429068,0.000429068,0.000429068
33,201.846,0.7201,0.46022,1.07526,0.93085,0.92342,0.97858,0.75102,0.91389,0.6254,1.41585,0.00040707,0.00040707,0.00040707
34,208.545,0.69336,0.45866,1.06921,0.89684,0.94293,0.97829,0.78246,0.814,0.55738,1.28373,0.000385073,0.000385073,0.000385073
35,215.168,0.69415,0.41257,1.05129,0.91692,0.94639,0.98729,0.78621,0.86649,0.50315,1.34335,0.000363075,0.000363075,0.000363075
36,220.937,0.65247,0.41487,1.02799,0.90142,0.96751,0.98946,0.76475,0.86733,0.49914,1.38376,0.000341077,0.000341077,0.000341077
37,227.946,0.66672,0.41715,1.04862,0.94026,0.93382,0.98946,0.7667,0.89394,0.50303,1.37622,0.000319079,0.000319079,0.000319079
38,233.749,0.62171,0.39196,1.00645,0.90334,0.9526,0.97999,0.76009,0.89822,0.50276,1.34203,0.000297081,0.000297081,0.000297081
39,240.206,0.64488,0.38622,1.04539,0.90012,0.95231,0.98471,0.75931,0.88569,0.51339,1.36735,0.000275084,0.000275084,0.000275084
40,246.312,0.65999,0.39218,1.04347,0.93519,0.96668,0.98371,0.77877,0.88939,0.4704,1.37371,0.000253086,0.000253086,0.000253086
